dates,p
2009-11-03,0.0015151613916873723
2009-11-04,0.0013723440603404028
2009-11-05,0.0007402653297944876
2009-11-06,0.0014586558294560435
2009-11-09,0.001811973950608556
2009-11-10,0.0013244804542471638
2009-11-11,0.00021768706994102307
2009-11-12,1.2976490219873642e-05
2009-11-13,7.674354427552493e-05
2009-11-16,0.00011967537509056892
2009-11-17,0.00016481594805051132
2009-11-18,0.00028185203940865367
2009-11-19,7.360009212155748e-05
2009-11-20,0.00011654989932550156
2009-11-23,0.0002679833425264163
2009-11-24,0.00037742198365411754
2009-11-25,0.0002944861967349104
2009-11-27,6.827785895642173e-06
2009-11-30,1.9338408386326018e-05
2009-12-01,0.00017715363964010953
2009-12-02,0.00028581345693242034
2009-12-03,0.00012197351064184128
2009-12-04,0.0002634437001588864
2009-12-07,0.00016001406119230024
2009-12-08,6.960525071465926e-05
2009-12-09,0.00014753591043141325
2009-12-10,0.00018934653491329046
2009-12-11,0.0002799961945959658
2009-12-14,0.0003414960321057682
2009-12-15,0.000288731739330288
2009-12-16,0.00043505276736404173
2009-12-17,0.00017670687071311508
2009-12-18,0.00027216825405381454
2009-12-21,0.0004515183453536123
2009-12-22,0.0006300050161429662
2009-12-23,0.0005625483448820072
2009-12-24,0.0005904793742788525
2009-12-28,0.00047335136185784935
2009-12-29,0.00044591595577014653
2009-12-30,0.00044477859283308547
2009-12-31,0.00021197331799107088
2010-01-04,0.00043642303272777683
2010-01-05,0.0005590621285744568
2010-01-06,0.000581525093578351
2010-01-07,0.0005840572218802327
2010-01-08,0.0007875166026145683
2010-01-11,0.0009124898593573529
2010-01-12,0.0006801078520298265
2010-01-13,0.0007551912995011935
2010-01-14,0.0007817391495430399
2010-01-15,0.0006746947615863667
2010-01-19,0.0007340613598344075
2010-01-20,0.00045578535249784987
2010-01-21,8.536586989217597e-05
2010-01-22,8.29116474892952e-06
2010-01-25,3.274597827282657e-05
2010-01-26,6.291816030004221e-05
2010-01-27,0.00013655434827718242
2010-01-28,0.0001199204747603251
2010-01-29,9.534751659238659e-05
2010-02-01,0.0002373464532687177
2010-02-02,0.0003719730809910339
2010-02-03,0.0003662212656434397
2010-02-04,7.32473048014595e-05
2010-02-05,8.695088426345674e-05
2010-02-08,8.88876110501219e-05
2010-02-09,0.00012506682747377465
2010-02-10,0.0001740130844122203
2010-02-11,0.00030331316679425944
2010-02-12,0.0004611726068767734
2010-02-16,0.0005412423922133065
2010-02-17,0.0006349565797466676
2010-02-18,0.0008460127590388337
2010-02-19,0.0009719079082566568
2010-02-22,0.0009768307434894828
2010-02-23,0.0006685148294430706
2010-02-24,0.0008928871384999784
2010-02-25,0.0009220641801975227
2010-02-26,0.0010528574918875783
2010-03-01,0.0010954597673638626
2010-03-02,0.0011273380234993523
2010-03-03,0.0011665228370151637
2010-03-04,0.0011734997267652213
2010-03-05,0.0015007675884224025
2010-03-08,0.0013654735941824503
2010-03-09,0.0012991139116759168
2010-03-10,0.0010920041281229861
2010-03-11,0.0012137814718023783
2010-03-12,0.0013264836169910772
2010-03-15,0.001176472657906328
2010-03-16,0.0012432372634663437
2010-03-17,0.0014484077107535305
2010-03-18,0.0015014334512375657
2010-03-19,0.0013603158867181266
2010-03-22,0.0013604911000549373
2010-03-23,0.0014913826193669174
2010-03-24,0.0010806961499626724
2010-03-25,0.0008195902111515328
2010-03-26,0.0009887808336352234
2010-03-29,0.0010274309811604684
2010-03-30,0.0011537591584386735
2010-03-31,0.0009878246444318878
2010-04-01,0.001009456655635662
2010-04-05,0.0011363427606252289
2010-04-06,0.0013796650796357053
2010-04-07,0.0012149705386162708
2010-04-08,0.0012376989939746016
2010-04-09,0.0013301153909593064
2010-04-12,0.001497936250232518
2010-04-13,0.0012407341862470489
2010-04-14,0.0014347971052324116
2010-04-15,0.0012909358780366952
2010-04-16,0.0005084478708232327
2010-04-19,0.0007794263335206925
2010-04-20,0.0013292900252266074
2010-04-21,0.0010808426481018108
2010-04-22,0.0010076884235203
2010-04-23,0.000939183652674779
2010-04-26,0.0006615605766411671
2010-04-27,4.153057814283094e-05
2010-04-28,0.00013181825830194046
2010-04-29,0.0005216900133809922
2010-04-30,8.901574389581362e-05
2010-05-03,0.00026227453016642693
2010-05-04,4.208407768218426e-05
2010-05-05,2.9330123868342946e-05
2010-05-06,5.441097379908543e-07
2010-05-07,2.2894307250292262e-08
2010-05-10,2.020255347716708e-05
2010-05-11,3.4318493481794815e-05
2010-05-12,0.00013610501071276168
2010-05-13,9.87279595617276e-05
2010-05-14,1.8991429077639065e-05
2010-05-17,3.059279492237654e-05
2010-05-18,1.4472835655137044e-05
2010-05-19,1.0861150823621243e-05
2010-05-24,2.7756635702314285e-05
2010-05-25,0.00010786753374173621
2010-05-26,0.00011315414545586115
2010-05-27,0.0005051356276536261
2010-05-28,0.00030045796007558854
2010-06-01,0.00013526840209805103
2010-06-02,0.0005641451046109163
2010-06-03,0.0006833739480165091
2010-06-04,0.0001749271148490164
2010-06-07,0.00015127844104408333
2010-06-08,0.000343166575907582
2010-06-09,0.0003685031421115796
2010-06-10,0.0007593480954826102
2010-06-11,0.001070282072604279
2010-06-14,0.0011202275752616262
2010-06-15,0.0016384145334905475
2010-06-16,0.001621108825066299
2010-06-17,0.001768533073847929
2010-06-18,0.00192615830614846
2010-06-21,0.0017664979707393432
2010-06-22,0.0013365143571133881
2010-06-23,0.0013668439980314944
2010-06-24,0.0008406297763132261
2010-06-25,0.0010753156096373188
2010-06-28,0.001000958424973465
2010-06-29,0.00033955774823542744
2010-06-30,0.00033396932532147737
2010-07-01,0.0005309176737406217
2010-07-02,0.0009647297338426093
2010-07-06,0.001067604043101508
2010-07-07,0.0016289222021883098
2010-07-08,0.0018274560909058027
2010-07-09,0.0019302220629658006
2010-07-12,0.001991070228718877
2010-07-13,0.0019619226129001747
2010-07-14,0.0019005132431408355
2010-07-15,0.0018465499482496724
2010-07-16,0.001622384245271779
2010-07-19,0.0016734609452794481
2010-07-20,0.0020099961486879634
2010-07-21,0.0017077145359020974
2010-07-22,0.0018885948442709077
2010-07-23,0.0020413665239794624
2010-07-26,0.002094990497195312
2010-07-27,0.0020461349541306597
2010-07-28,0.0018737228168305292
2010-07-29,0.001882637578424318
2010-07-30,0.0019758980842821618
2010-08-02,0.002114711431988534
2010-08-03,0.002059620648682353
2010-08-04,0.002090048589609457
2010-08-05,0.002090041926527842
2010-08-06,0.002108882234075307
2010-08-09,0.002062418026004951
2010-08-10,0.0020185121612546885
2010-08-11,0.0013231331370910653
2010-08-12,0.0012403519104482116
2010-08-13,0.0011206117016670006
2010-08-16,0.001164979170363678
2010-08-17,0.0016225117502479292
2010-08-18,0.0015489715516644944
2010-08-19,0.0010724441752251509
2010-08-20,0.0013242618335570573
2010-08-23,0.0012833284463888072
2010-08-24,0.0008542622157170877
2010-08-25,0.0010492978839578713
2010-08-26,0.0009061073939433149
2010-08-27,0.0016650861414306364
2010-08-30,0.0009497400083074162
2010-08-31,0.0012563889462101204
2010-09-01,0.0018214756928430435
2010-09-02,0.0019609963506016415
2010-09-03,0.0021570548195379265
2010-09-07,0.0017735420713585926
2010-09-08,0.0018934793410567503
2010-09-09,0.001973786157013752
2010-09-10,0.0020974506493230487
2010-09-13,0.002157808723856065
2010-09-14,0.002123315681846772
2010-09-15,0.0020302099957846885
2010-09-16,0.0020804259965144555
2010-09-17,0.0020145884845968656
2010-09-20,0.0020896068712205128
2010-09-21,0.0019008038575314434
2010-09-22,0.001844740950257192
2010-09-23,0.001431108194855955
2010-09-24,0.002021464806247007
2010-09-27,0.0017997683736468437
2010-09-28,0.001769360421391186
2010-09-29,0.00155973289824628
2010-09-30,0.0014111817860788362
2010-10-01,0.0017821980145992728
2010-10-04,0.0014478372100908685
2010-10-05,0.001969223572355021
2010-10-06,0.0020166008963893637
2010-10-07,0.001983905822929035
2010-10-08,0.002135266352319028
2010-10-11,0.0021229166564776998
2010-10-12,0.0021436458606314142
2010-10-13,0.002178857193186582
2010-10-14,0.0021720051689492555
2010-10-15,0.0021951690860655356
2010-10-18,0.0022019295547182492
2010-10-19,0.0019537747501257373
