time2expiry,delta
0.082191781,0.2
0.164383562,0.25
0.249315068,0.3
0.334246575,0.35
0.416438356,0.4
0.498630137,0.45
0.747945205,0.5
1,0.55
1.498630137,0.6
2,0.65
,0.7
,0.75
,0.8
