,h,w_h,v_h,cash
GE,1952781,0.19370432836994878,207199850.56991947,1828577.0
JPM,1092015,0.19430555236773328,,
A,1082719,0.19367568118374826,,
AA,4755846,0.19579547486261378,,
AAPL,60510,0.1933912092107334,,
Call,16000,0.010684141192890339,,
Put,16000,0.009618427876289146,,
